City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Jacareacanga,BR,78.42,few clouds,-6.2222,-57.7528,Casa do Ian😎
548,Tutoia,BR,76.42,few clouds,-2.7619,-42.2744,Pousada Guará's
549,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
550,Pasrur,PK,82.24,clear sky,32.2641,74.6634,Kashif Garments
552,Lincoln,US,70.18,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
553,Yurimaguas,PE,82.08,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
555,Veraval,IN,82.9,overcast clouds,20.9,70.3667,Lords Inn Somnath
563,Voh,NC,77.02,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
564,Port Hedland,AU,71.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
565,Akhmim,EG,82.29,clear sky,26.5622,31.745,برج الماسة السكني
568,Acajutla,SV,80.71,overcast clouds,13.5928,-89.8275,Laureles
570,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
572,Tual,ID,83.43,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
575,Antonina,BR,73.08,overcast clouds,-25.4286,-48.7119,Hotel Capelista
577,Inhambane,MZ,70.32,clear sky,-23.865,35.3833,Oceano
579,Gorontalo,ID,74.32,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
583,Acacias,CO,74.01,overcast clouds,3.987,-73.758,Hotel Iraqúa
586,Grand-Lahou,CI,78.28,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
589,Araioses,BR,80.58,scattered clouds,-2.89,-41.9031,Pousada Vale do magu
596,Chake Chake,TZ,77.43,overcast clouds,-5.2459,39.7666,Hotel Archipelago
597,Mountain Home,US,85.98,overcast clouds,43.133,-115.6912,Mountain Home Inn
599,Mogadishu,SO,79.03,overcast clouds,2.0371,45.3438,Hotel Juba
601,Emborion,GR,70.16,broken clouds,40.4833,21.55,Villa Kastanodasos
602,Santa,PH,78.4,overcast clouds,17.486,120.4348,Monte Leah Beach Resort
607,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
609,Kearney,US,75.33,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
610,Baragaon,IN,87.39,few clouds,25.4333,82.8167,OYO 2952 Hotel K J International
611,Baragua,CU,86.43,scattered clouds,21.6967,-78.6328,Hotel Itabo
612,Sarh,TD,83.97,few clouds,9.1429,18.3923,Domicile 1sur le goudron
614,Belmonte,BR,73.04,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
615,Rio Verde De Mato Grosso,BR,77.5,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
617,Half Moon Bay,US,78.89,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
622,Bandarbeyla,SO,79.86,broken clouds,9.4942,50.8122,JABIR HOTEL
624,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
627,Quelimane,MZ,73.35,clear sky,-17.8786,36.8883,Hotel Flamingo
628,Lahat,ID,73.83,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
631,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
632,Wamba,NG,75.13,light rain,8.9333,8.6,Roma Zee Guest House Annex
633,Wyndham,US,73.89,overcast clouds,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
635,Harper,LR,78.8,overcast clouds,4.375,-7.7169,Screensaver
637,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
642,Honavar,IN,79.77,scattered clouds,14.2833,74.45,Hotel Sagar Residency
643,Palmerston,AU,75.18,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
645,Boundiali,CI,77.4,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
646,Eureka,US,81.75,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
648,Kailaras,IN,88.81,clear sky,26.3167,77.6167,बिश्राम घाट कैलारस
651,Rosetta,EG,70.36,clear sky,31.4044,30.4164,Green Valley
656,Zemio,CF,70.02,scattered clouds,5.0314,25.1361,OCHA Office
658,Warri,NG,74.55,overcast clouds,5.5167,5.75,BON Hotel Delta
660,Le Vauclin,MQ,80.65,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
662,Cockburn Town,TC,79.84,few clouds,21.4612,-71.1419,Osprey Beach Hotel
663,Gerash,IR,78.49,clear sky,27.6652,54.1371,Sa'adat House Gerash
665,Sambava,MG,71.46,scattered clouds,-14.2667,50.1667,Melrose
670,Mozarlandia,BR,75.94,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
675,Pachino,IT,70.5,overcast clouds,36.7186,15.0907,Il Veliero
