City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Luwuk,ID,-0.9516,122.7875,77.09,87,99,4.68,overcast clouds
220,Salalah,OM,17.0151,54.0924,84.29,79,75,5.75,broken clouds
221,Fortuna,US,40.5982,-124.1573,66.92,80,0,1.01,clear sky
222,Cortez,US,37.3489,-108.5859,85.93,11,0,11.99,clear sky
223,Aykhal,RU,66.0,111.5,31.03,68,47,14.81,scattered clouds
224,Papar,MY,5.7333,115.9333,75.2,95,100,1.88,overcast clouds
225,Husavik,IS,66.0449,-17.3389,40.05,97,100,10.2,overcast clouds
226,Trairi,BR,-3.2778,-39.2689,77.31,85,0,6.78,clear sky
227,Plouzane,FR,48.3833,-4.6167,57.52,77,100,8.05,overcast clouds
228,La Paz,BO,-16.5,-68.15,51.78,40,20,8.05,few clouds
229,Nuziders,AT,47.1667,9.8,58.05,70,19,2.64,few clouds
230,Saskylakh,RU,71.9167,114.0833,30.4,96,100,10.47,overcast clouds
231,Atasu,KZ,48.6814,71.6433,58.28,66,0,8.01,clear sky
232,Havre-Saint-Pierre,CA,50.2334,-63.5986,45.66,70,100,7.05,overcast clouds
233,Cairns,AU,-16.9167,145.7667,71.06,94,9,2.3,clear sky
234,Bara,NG,10.3744,10.7288,86.13,48,8,13.58,clear sky
235,Henties Bay,NA,-22.116,14.2845,59.16,83,0,7.43,clear sky
236,Garmsar,IR,35.2182,52.3409,68.65,39,1,4.74,clear sky
237,General Pico,AR,-35.6566,-63.7568,49.91,53,93,7.29,overcast clouds
238,Ondjiva,AO,-17.0667,15.7333,59.18,34,0,5.88,clear sky
239,Altagracia De Orituco,VE,9.8601,-66.3814,79.56,74,100,5.53,overcast clouds
240,Ostrovnoy,RU,68.0531,39.5131,35.11,98,100,17.13,overcast clouds
241,Agadez,NE,19.75,10.25,89.82,10,3,8.5,clear sky
242,Kavaratti,IN,10.5669,72.642,83.12,75,100,9.75,overcast clouds
243,Korem,ET,12.5058,39.5228,59.36,41,42,0.78,scattered clouds
244,Tocopilla,CL,-22.092,-70.1979,64.74,73,80,8.52,broken clouds
245,Yangambi,CD,0.8102,24.4336,70.2,90,11,1.83,few clouds
246,Rocha,UY,-34.4833,-54.3333,47.68,83,19,3.36,few clouds
247,Cabo San Lucas,MX,22.8909,-109.9124,86.61,61,1,12.35,clear sky
248,Faanui,PF,-16.4833,-151.75,80.98,71,5,15.95,light rain
249,Tutin,RS,42.9903,20.3314,56.88,91,99,1.79,overcast clouds
250,Saint George,US,37.1041,-113.5841,99.95,9,0,9.22,clear sky
251,Mori,JP,34.8333,137.9333,72.45,95,100,15.17,light rain
252,Sorland,NO,67.667,12.6934,49.86,86,93,13.38,overcast clouds
253,Mamlyutka,KZ,54.9375,68.5394,60.15,80,67,11.23,broken clouds
